long,lat,group
-21.71925589,66.10531264,1
-21.74381414,66.08879198,1
-21.73147999,66.06771792,1
-21.69454235,66.04933174,1
-21.65885817,66.06800198,1
-21.62783181,66.04720206,1
-21.67125804,66.01698902,1
-21.6047507,66.03711849,1
-21.60160874,66.05711523,1
-21.62298122,66.06923741,1
-21.61495116,66.08432955,1
-21.5482484,66.08815096,1
-21.49846076,66.04744047,1
-21.56737141,66.0473692,1
-21.51560804,66.01354208,1
-21.39842194,66.02854248,1
-21.32695323,66.00677778,1
-21.31861651,65.98722441,1
-21.60842355,65.95790253,1
-21.58745247,65.94100311,1
-21.39029407,65.96434061,1
-21.36984656,65.95865767,1
-21.45622165,65.93320022,1
-21.3220197,65.94126161,1
-21.29279368,65.92945123,1
-21.27741822,65.89684836,1
-21.32235425,65.87402471,1
-21.27660208,65.85849251,1
-21.28739128,65.83198962,1
-21.36904355,65.78301889,1
-21.43894661,65.777772,1
-21.46943363,65.76894939,1
-21.44801906,65.75834812,1
-21.41244844,65.7608326,1
-21.40434468,65.76847437,1
-21.40045569,65.76851349,1
-21.39615021,65.75264065,1
-21.33747287,65.7450365,1
-21.34078437,65.73447212,1
-21.43724124,65.68861128,1
-21.58291705,65.69214732,1
-21.67456894,65.76196803,1
-21.71310272,65.76983016,1
-21.71718889,65.77445726,1
-21.72059695,65.77538287,1
-21.72609859,65.77601241,1
-21.72951904,65.77274388,1
-21.71719347,65.76997356,1
-21.78441597,65.76456692,1
-21.68171807,65.73965375,1
-21.66226768,65.70624651,1
-21.69621105,65.69177466,1
-21.66982146,65.68551868,1
-21.66862451,65.66463647,1
-21.6359239,65.64388364,1
-21.48317869,65.64677195,1
-21.3868265,65.62212032,1
-21.48111221,65.55913577,1
-21.4470002,65.55989772,1
-21.3595943,65.60141622,1
-21.29581955,65.5942286,1
-21.29080355,65.54713396,1
-21.30967304,65.52255935,1
-21.47555261,65.44589935,1
-21.28374681,65.4840536,1
-21.27060339,65.45972645,1
-21.19441488,65.43357919,1
-21.2129485,65.41451344,1
-21.18590066,65.3948298,1
-21.17792945,65.33628463,1
-21.19693886,65.30231991,1
-21.16600569,65.29177921,1
-21.17456873,65.28523087,1
-21.13762673,65.24257733,1
-21.09186943,65.20937058,1
-21.09312033,65.158937,1
-21.07668752,65.15427072,1
-21.06335796,65.16191403,1
-21.06716826,65.20026917,1
-21.11482976,65.26736513,1
-21.08870607,65.28213536,1
-21.09927952,65.29585019,1
-21.06811181,65.3234683,1
-21.09567489,65.44814304,1
-21.05904289,65.45496332,1
-20.95717961,65.34823415,1
-20.91015138,65.35249086,1
-20.99036512,65.47322631,1
-20.93260645,65.58173425,1
-20.6736023,65.68758471,1
-20.62429708,65.67434298,1
-20.63799857,65.6500394,1
-20.63411323,65.59897051,1
-20.57753137,65.59383522,1
-20.3528752,65.61554609,1
-20.32325907,65.62564099,1
-20.29267018,65.66675093,1
-20.30078675,65.68754564,1
-20.2633783,65.7267846,1
-20.27592423,65.78337905,1
-20.30791448,65.82514658,1
-20.32453939,65.82606017,1
-20.30852221,65.86145542,1
-20.38940937,65.95586425,1
-20.38907035,65.98893279,1
-20.43381579,66.01727539,1
-20.40216737,66.05943654,1
-20.42216838,66.08273671,1
-20.41191744,66.08826858,1
-20.22179247,66.10391126,1
-20.16735107,66.12568182,1
-20.09733735,66.11951621,1
-20.09742155,66.10466868,1
-20.03421747,66.08148127,1
-20.0368177,66.06166277,1
-20.01016537,66.05061285,1
-20.00598787,66.02960325,1
-19.91855736,65.9731547,1
-19.93685342,65.96192815,1
-19.88322714,65.93583138,1
-19.86446212,65.89822027,1
-19.73684098,65.88486512,1
-19.70521939,65.86201679,1
-19.66088429,65.80839201,1
-19.66482649,65.76905095,1
-19.63828358,65.7573921,1
-19.6477867,65.75112327,1
-19.5600128,65.74809914,1
-19.5429569,65.77143835,1
-19.47383785,65.73654032,1
-19.39772312,65.75616771,1
-19.40014509,65.77239583,1
-19.37354766,65.78379241,1
-19.3872109,65.81383151,1
-19.36066028,65.8287181,1
-19.3998301,65.89104717,1
-19.51200498,65.96629817,1
-19.4164111,65.98071533,1
-19.40535222,66.004171,1
-19.43422047,66.03013567,1
-19.43178167,66.05091737,1
-19.35552222,66.07827751,1
-19.21223079,66.08342044,1
-19.14408095,66.0690873,1
-19.12916382,66.07674873,1
-19.13769027,66.08776445,1
-19.08747709,66.09782313,1
-19.0509612,66.15806088,1
-18.92739012,66.18777216,1
-18.90230916,66.17674182,1
-18.89601703,66.15281068,1
-18.91123199,66.14889415,1
-18.91790857,66.1348194,1
-18.85880349,66.16321307,1
-18.84171922,66.18554578,1
-18.85975643,66.1985462,1
-18.78598236,66.19369256,1
-18.75702573,66.17294987,1
-18.79166778,66.13171879,1
-18.68024871,66.16215178,1
-18.60853337,66.1197678,1
-18.66402235,66.08370153,1
-18.65690212,66.07413675,1
-18.57128467,66.09526275,1
-18.54392474,66.08682786,1
-18.50692434,66.02325285,1
-18.52586748,65.97013254,1
-18.32552164,65.94436109,1
-18.27429808,65.9049169,1
-18.25970863,65.8675703,1
